t,S
02-Jan-1969,245.4
03-Jan-1969,246.9
06-Jan-1969,246.5
07-Jan-1969,245.29
08-Jan-1969,245.72
09-Jan-1969,246.47
10-Jan-1969,247.93
13-Jan-1969,249.43
14-Jan-1969,250.78
15-Jan-1969,252.9
16-Jan-1969,254.65
17-Jan-1969,257.86
20-Jan-1969,258.73
21-Jan-1969,259.84
22-Jan-1969,259.04
23-Jan-1969,259.01
24-Jan-1969,258.46
27-Jan-1969,258.94
28-Jan-1969,257.87
29-Jan-1969,259.71
30-Jan-1969,262.35
31-Jan-1969,263.71
03-Feb-1969,263.19
04-Feb-1969,261.34
05-Feb-1969,261.78
06-Feb-1969,266.72
07-Feb-1969,270.35
10-Feb-1969,272.56
11-Feb-1969,274.41
12-Feb-1969,279.72
13-Feb-1969,281.65
14-Feb-1969,280.22
17-Feb-1969,282.87
18-Feb-1969,283.54
19-Feb-1969,282.35
20-Feb-1969,282.69
21-Feb-1969,281.83
24-Feb-1969,275.65
25-Feb-1969,272.53
26-Feb-1969,268.64
27-Feb-1969,271.38
28-Feb-1969,276.71
03-Mar-1969,276.26
04-Mar-1969,274.57
05-Mar-1969,279.63
06-Mar-1969,283.36
07-Mar-1969,282.6
10-Mar-1969,283.63
11-Mar-1969,286.2
12-Mar-1969,289.75
13-Mar-1969,292.58
14-Mar-1969,293.19
17-Mar-1969,290.47
18-Mar-1969,290.79
19-Mar-1969,293.58
20-Mar-1969,296.03
21-Mar-1969,295.36
24-Mar-1969,298.93
25-Mar-1969,303.92
26-Mar-1969,300.24
27-Mar-1969,298.21
28-Mar-1969,297.64
31-Mar-1969,309.49
01-Apr-1969,300.76
02-Apr-1969,303.54
03-Apr-1969,305.42
08-Apr-1969,305.36
09-Apr-1969,299.5
10-Apr-1969,296.54
11-Apr-1969,294.45
14-Apr-1969,290.8
15-Apr-1969,284.49
16-Apr-1969,285.44
17-Apr-1969,291.71
18-Apr-1969,292.99
21-Apr-1969,290.39
22-Apr-1969,289.95
23-Apr-1969,293.6
24-Apr-1969,295.91
25-Apr-1969,293.44
28-Apr-1969,297.82
29-Apr-1969,300.49
30-Apr-1969,308.17
02-May-1969,315.83
05-May-1969,307.57
06-May-1969,306.32
07-May-1969,309.31
08-May-1969,305.76
09-May-1969,308.36
12-May-1969,310.59
13-May-1969,306.54
14-May-1969,303.6
15-May-1969,304.36
16-May-1969,304.22
19-May-1969,305.5
20-May-1969,305.51
21-May-1969,306.14
22-May-1969,310.76
23-May-1969,311.72
27-May-1969,311.07
28-May-1969,309.6
29-May-1969,311.84
30-May-1969,313.68
02-Jun-1969,317.8
03-Jun-1969,314.01
04-Jun-1969,310.08
05-Jun-1969,308.16
06-Jun-1969,310.25
09-Jun-1969,306.75
10-Jun-1969,302.32
11-Jun-1969,302.53
12-Jun-1969,302.56
13-Jun-1969,302.27
16-Jun-1969,298.57
17-Jun-1969,295.23
18-Jun-1969,294.2
19-Jun-1969,293.32
20-Jun-1969,293.7
23-Jun-1969,288.72
24-Jun-1969,285.93
25-Jun-1969,287.78
26-Jun-1969,289.93
27-Jun-1969,285.79
30-Jun-1969,282.98
01-Jul-1969,285.06
02-Jul-1969,287.45
03-Jul-1969,288.07
04-Jul-1969,290.97
07-Jul-1969,290.13
08-Jul-1969,289.14
09-Jul-1969,286.4
10-Jul-1969,285.39
11-Jul-1969,283.65
15-Jul-1969,279.87
16-Jul-1969,278.98
17-Jul-1969,279.49
18-Jul-1969,280.63
21-Jul-1969,278.14
22-Jul-1969,277.54
23-Jul-1969,277.13
24-Jul-1969,277.13
25-Jul-1969,279.55
28-Jul-1969,279.96
29-Jul-1969,277.85
30-Jul-1969,275.17
31-Jul-1969,278.5
01-Aug-1969,284.09
04-Aug-1969,286.92
05-Aug-1969,285.57
06-Aug-1969,284.75
07-Aug-1969,285.17
08-Aug-1969,286.17
11-Aug-1969,306.56
12-Aug-1969,301.18
13-Aug-1969,298.2
14-Aug-1969,296.61
18-Aug-1969,295.29
19-Aug-1969,292.97
20-Aug-1969,293.81
21-Aug-1969,297.65
22-Aug-1969,296.22
25-Aug-1969,295.46
26-Aug-1969,291.88
27-Aug-1969,288.77
28-Aug-1969,290.44
29-Aug-1969,291.72
01-Sep-1969,290.11
02-Sep-1969,289.9
03-Sep-1969,290.72
04-Sep-1969,293.53
05-Sep-1969,292.9
08-Sep-1969,290.56
09-Sep-1969,289.82
10-Sep-1969,287.63
11-Sep-1969,287.38
12-Sep-1969,285.79
15-Sep-1969,285.32
16-Sep-1969,288.55
17-Sep-1969,289.49
18-Sep-1969,288.21
19-Sep-1969,288.56
22-Sep-1969,289.04
23-Sep-1969,289.36
24-Sep-1969,290.67
25-Sep-1969,292.72
26-Sep-1969,292.61
29-Sep-1969,291.54
30-Sep-1969,291.3
01-Oct-1969,294.59
02-Oct-1969,297.79
03-Oct-1969,297.52
06-Oct-1969,298.21
07-Oct-1969,298.22
08-Oct-1969,297.26
09-Oct-1969,296.83
10-Oct-1969,298.51
13-Oct-1969,299.86
14-Oct-1969,301.79
15-Oct-1969,300.64
16-Oct-1969,300.14
17-Oct-1969,299.42
20-Oct-1969,298.11
21-Oct-1969,298.31
22-Oct-1969,298.29
23-Oct-1969,299.23
24-Oct-1969,303.84
27-Oct-1969,305.09
28-Oct-1969,304.96
29-Oct-1969,306.14
30-Oct-1969,307.48
31-Oct-1969,307.68
03-Nov-1969,308.96
04-Nov-1969,308.78
05-Nov-1969,307.9
06-Nov-1969,304.82
07-Nov-1969,302.82
