t,S
28-Sep-1959,371.93
29-Sep-1959,374.75
30-Sep-1959,375.31
01-Oct-1959,366.2
02-Oct-1959,362.03
05-Oct-1959,352.03
06-Oct-1959,347.45
07-Oct-1959,349.5
08-Oct-1959,355.93
09-Oct-1959,358.05
12-Oct-1959,348.64
13-Oct-1959,344.63
14-Oct-1959,344.81
16-Oct-1959,337.41
19-Oct-1959,328.49
20-Oct-1959,333.32
21-Oct-1959,351.92
22-Oct-1959,354.74
23-Oct-1959,357.05
26-Oct-1959,364.01
27-Oct-1959,362.93
28-Oct-1959,359.54
29-Oct-1959,361.02
30-Oct-1959,369.58
02-Nov-1959,364.9
03-Nov-1959,369.03
04-Nov-1959,372.63
05-Nov-1959,372.08
06-Nov-1959,372.22
09-Nov-1959,374.64
10-Nov-1959,377.69
12-Nov-1959,377.66
13-Nov-1959,377.88
16-Nov-1959,378.62
17-Nov-1959,377.66
19-Nov-1959,381.37
20-Nov-1959,379.48
23-Nov-1959,377.95
24-Nov-1959,374.05
25-Nov-1959,369.14
26-Nov-1959,370.63
27-Nov-1959,376.02
30-Nov-1959,379.51
01-Dec-1959,382.34
02-Dec-1959,383.98
03-Dec-1959,384.28
04-Dec-1959,383.49
07-Dec-1959,386.69
08-Dec-1959,389.37
09-Dec-1959,392.57
10-Dec-1959,393.91
11-Dec-1959,395.95
14-Dec-1959,400.05
15-Dec-1959,399.26
16-Dec-1959,397.03
17-Dec-1959,395.77
18-Dec-1959,394.39
21-Dec-1959,395.43
22-Dec-1959,396.51
23-Dec-1959,400.05
28-Dec-1959,411.46
29-Dec-1959,413.81
30-Dec-1959,412.21
31-Dec-1959,417.79
04-Jan-1960,426.08
05-Jan-1960,422.21
06-Jan-1960,424.44
07-Jan-1960,422.92
08-Jan-1960,419.53
11-Jan-1960,416.45
12-Jan-1960,413.14
13-Jan-1960,421.62
14-Jan-1960,421.65
15-Jan-1960,420.43
18-Jan-1960,418.2
19-Jan-1960,413.06
20-Jan-1960,412.21
21-Jan-1960,415.15
22-Jan-1960,417.23
25-Jan-1960,415.18
26-Jan-1960,412.65
27-Jan-1960,416.08
28-Jan-1960,417.67
29-Jan-1960,417.19
01-Feb-1960,419.83
02-Feb-1960,426.19
03-Feb-1960,426.04
04-Feb-1960,425.26
05-Feb-1960,428.13
08-Feb-1960,429.95
