t,S
14-Jul-1896,33.43
15-Jul-1896,32.28
16-Jul-1896,31.95
17-Jul-1896,31.94
18-Jul-1896,31.5
20-Jul-1896,30.5
21-Jul-1896,30.68
22-Jul-1896,31.99
23-Jul-1896,32.29
24-Jul-1896,31.54
25-Jul-1896,31.68
27-Jul-1896,31.46
28-Jul-1896,30.82
29-Jul-1896,30.97
30-Jul-1896,31.48
31-Jul-1896,32.02
01-Aug-1896,31.74
03-Aug-1896,31.49
04-Aug-1896,30.99
05-Aug-1896,30.93
06-Aug-1896,29.99
07-Aug-1896,28.66
08-Aug-1896,28.48
10-Aug-1896,28.96
11-Aug-1896,30.3
12-Aug-1896,29.37
13-Aug-1896,30.37
14-Aug-1896,30.73
15-Aug-1896,30.61
17-Aug-1896,31.06
18-Aug-1896,30.99
19-Aug-1896,31.31
20-Aug-1896,30.72
21-Aug-1896,30.55
22-Aug-1896,30.91
24-Aug-1896,30.67
25-Aug-1896,30.61
26-Aug-1896,30.29
27-Aug-1896,30.31
28-Aug-1896,30.88
29-Aug-1896,31.24
31-Aug-1896,31.97
01-Sep-1896,32.02
02-Sep-1896,33.49
03-Sep-1896,33.8
04-Sep-1896,34.7
05-Sep-1896,35.07
08-Sep-1896,35.5
09-Sep-1896,35.39
10-Sep-1896,34.58
11-Sep-1896,35.3
12-Sep-1896,35.02
14-Sep-1896,34.86
15-Sep-1896,34.13
16-Sep-1896,33.32
17-Sep-1896,34.33
18-Sep-1896,34.81
19-Sep-1896,35.03
21-Sep-1896,35.53
22-Sep-1896,35.59
23-Sep-1896,35.78
24-Sep-1896,36.23
25-Sep-1896,36.61
26-Sep-1896,36.75
28-Sep-1896,36.35
29-Sep-1896,36.33
30-Sep-1896,36.05
01-Oct-1896,36.01
02-Oct-1896,35.88
03-Oct-1896,35.82
05-Oct-1896,35.92
06-Oct-1896,35.91
07-Oct-1896,35.3
08-Oct-1896,35.42
09-Oct-1896,34.96
10-Oct-1896,35.09
12-Oct-1896,34.74
13-Oct-1896,36.18
14-Oct-1896,36.15
15-Oct-1896,36.2
16-Oct-1896,36.26
17-Oct-1896,35.57
19-Oct-1896,36.5
20-Oct-1896,37.42
21-Oct-1896,37.32
22-Oct-1896,37.86
23-Oct-1896,38.49
24-Oct-1896,38.87
26-Oct-1896,38.71
27-Oct-1896,38.88
28-Oct-1896,38.39
29-Oct-1896,37.75
30-Oct-1896,39.4
31-Oct-1896,39.53
02-Nov-1896,40.93
04-Nov-1896,42.79
05-Nov-1896,41.86
06-Nov-1896,43.33
07-Nov-1896,44.08
09-Nov-1896,44.44
10-Nov-1896,44.56
11-Nov-1896,44.33
12-Nov-1896,44.9
13-Nov-1896,44.5
14-Nov-1896,44.54
16-Nov-1896,43.59
17-Nov-1896,43.59
18-Nov-1896,43.63
19-Nov-1896,43.44
