t,S
31-Jul-1964,100
31-Aug-1964,98.81
30-Sep-1964,101.21
30-Oct-1964,98.38
30-Nov-1964,101.42
31-Dec-1964,101.45
29-Jan-1965,103.53
26-Feb-1965,98.08
31-Mar-1965,91.49
30-Apr-1965,90.33
31-May-1965,85.23
30-Jun-1965,86.1
30-Jul-1965,80.23
31-Aug-1965,84.26
30-Sep-1965,81
29-Oct-1965,78.52
30-Nov-1965,77.95
31-Dec-1965,82.14
31-Jan-1966,84.82
28-Feb-1966,85.81
31-Mar-1966,83.05
29-Apr-1966,83.31
31-May-1966,82.15
30-Jun-1966,83.77
29-Jul-1966,83.69
31-Aug-1966,80.51
30-Sep-1966,79.57
31-Oct-1966,79.1
30-Nov-1966,81.25
30-Dec-1966,79.69
31-Jan-1967,79.83
28-Feb-1967,79.12
31-Mar-1967,76.87
28-Apr-1967,78.35
31-May-1967,66.73
30-Jun-1967,60.15
31-Jul-1967,63.08
31-Aug-1967,58.61
29-Sep-1967,66.96
31-Oct-1967,67.2
30-Nov-1967,66.36
29-Dec-1967,66.92
31-Jan-1968,67.57
29-Feb-1968,64.46
29-Mar-1968,63.12
30-Apr-1968,67.12
31-May-1968,71.34
28-Jun-1968,72.37
31-Jul-1968,82.77
30-Aug-1968,85.8
30-Sep-1968,87.16
31-Oct-1968,98.15
29-Nov-1968,101.44
31-Dec-1968,107.55
31-Jan-1969,115
28-Feb-1969,112
31-Mar-1969,111
30-Apr-1969,112
30-May-1969,120
30-Jun-1969,118
31-Jul-1969,118
29-Aug-1969,123
30-Sep-1969,140
31-Oct-1969,161
24-Nov-1969,158.5
25-Nov-1969,156.78
26-Nov-1969,155.35
27-Nov-1969,155.51
28-Nov-1969,157.01
01-Dec-1969,152.71
02-Dec-1969,150.98
03-Dec-1969,150.86
04-Dec-1969,149.73
05-Dec-1969,147.33
08-Dec-1969,149.19
09-Dec-1969,149.53
10-Dec-1969,149.04
11-Dec-1969,150.95
12-Dec-1969,152.25
15-Dec-1969,151.59
16-Dec-1969,150.47
17-Dec-1969,150.64
18-Dec-1969,150.24
19-Dec-1969,150.27
22-Dec-1969,150.56
23-Dec-1969,150.79
24-Dec-1969,151.75
25-Dec-1969,150.64
26-Dec-1969,151.1
29-Dec-1969,153.52
30-Dec-1969,155.47
31-Dec-1969,155.47
01-Jan-1970,155
02-Jan-1970,155.38
05-Jan-1970,154.75
06-Jan-1970,155.45
07-Jan-1970,155.73
08-Jan-1970,156.96
09-Jan-1970,156.23
12-Jan-1970,156.68
13-Jan-1970,156.78
14-Jan-1970,156.23
15-Jan-1970,156.88
16-Jan-1970,157.84
19-Jan-1970,158.52
20-Jan-1970,159.16
21-Jan-1970,160.69
22-Jan-1970,161.06
23-Jan-1970,160.58
26-Jan-1970,160.06
27-Jan-1970,160.62
28-Jan-1970,160.79
29-Jan-1970,161.45
30-Jan-1970,164.11
02-Feb-1970,165.23
03-Feb-1970,164.89
04-Feb-1970,165.57
05-Feb-1970,167.29
06-Feb-1970,165.75
09-Feb-1970,165.75
10-Feb-1970,168.41
11-Feb-1970,168.49
12-Feb-1970,166.6
13-Feb-1970,166.22
16-Feb-1970,166.33
17-Feb-1970,166.67
18-Feb-1970,167.4
19-Feb-1970,167.41
20-Feb-1970,169.11
23-Feb-1970,171.46
24-Feb-1970,171.77
25-Feb-1970,171.42
26-Feb-1970,173.18
27-Feb-1970,174.06
02-Mar-1970,174.93
03-Mar-1970,174.6
04-Mar-1970,177.38
05-Mar-1970,179.8
06-Mar-1970,183.18
09-Mar-1970,190.63
10-Mar-1970,193.39
11-Mar-1970,189.57
12-Mar-1970,189
13-Mar-1970,191.3
16-Mar-1970,189.61
17-Mar-1970,187.62
18-Mar-1970,184.28
19-Mar-1970,184.44
20-Mar-1970,184.95
23-Mar-1970,180.89
24-Mar-1970,181.24
25-Mar-1970,180.94
26-Mar-1970,182.13
27-Mar-1970,181.3
30-Mar-1970,181.3
31-Mar-1970,179.63
01-Apr-1970,176.95
02-Apr-1970,176.83
03-Apr-1970,178.82
06-Apr-1970,177.53
07-Apr-1970,179.56
08-Apr-1970,179.19
09-Apr-1970,180.17
10-Apr-1970,182.32
13-Apr-1970,183.78
14-Apr-1970,183.99
15-Apr-1970,186.56
16-Apr-1970,186.19
17-Apr-1970,185.56
20-Apr-1970,185.96
21-Apr-1970,185.22
22-Apr-1970,184.52
23-Apr-1970,184.14
24-Apr-1970,183.12
27-Apr-1970,180.1
28-Apr-1970,181.69
29-Apr-1970,180.34
30-Apr-1970,178.58
01-May-1970,176.14
04-May-1970,174.94
05-May-1970,168.46
06-May-1970,172.91
07-May-1970,176.93
08-May-1970,177.61
11-May-1970,174.73
12-May-1970,174.1
13-May-1970,174.46
14-May-1970,174.82
15-May-1970,173.47
18-May-1970,173.4
19-May-1970,172.94
20-May-1970,172.27
21-May-1970,169.84
22-May-1970,168.07
25-May-1970,165.18
26-May-1970,162.64
27-May-1970,165.7
28-May-1970,170.96
29-May-1970,173.02
01-Jun-1970,170.91
02-Jun-1970,170.33
03-Jun-1970,169.61
04-Jun-1970,170.25
05-Jun-1970,169.44
08-Jun-1970,170.11
09-Jun-1970,169.41
10-Jun-1970,172.13
11-Jun-1970,174.67
12-Jun-1970,173.5
15-Jun-1970,173.35
16-Jun-1970,175.41
17-Jun-1970,178.31
18-Jun-1970,176.85
19-Jun-1970,177.36
22-Jun-1970,179.78
23-Jun-1970,179.01
24-Jun-1970,177.31
25-Jun-1970,176.72
26-Jun-1970,177.98
29-Jun-1970,179.7
30-Jun-1970,181.37
01-Jul-1970,181.37
02-Jul-1970,183.68
03-Jul-1970,184.15
06-Jul-1970,189.71
07-Jul-1970,187.03
08-Jul-1970,186.02
09-Jul-1970,190.34
10-Jul-1970,189.72
13-Jul-1970,188.01
14-Jul-1970,189.83
15-Jul-1970,189.85
16-Jul-1970,183.92
17-Jul-1970,189.38
20-Jul-1970,190.64
21-Jul-1970,191.22
22-Jul-1970,193.27
23-Jul-1970,194.58
24-Jul-1970,193.88
27-Jul-1970,195.01
28-Jul-1970,193.89
29-Jul-1970,194.22
30-Jul-1970,195.63
31-Jul-1970,194.53
03-Aug-1970,192.72
04-Aug-1970,193.24
05-Aug-1970,194.32
06-Aug-1970,195.55
07-Aug-1970,195.84
10-Aug-1970,197.72
