t,S
05-Feb-1971,100
08-Feb-1971,100.84
09-Feb-1971,100.76
10-Feb-1971,100.69
11-Feb-1971,101.45
12-Feb-1971,102.05
16-Feb-1971,102.19
17-Feb-1971,101.74
18-Feb-1971,101.42
19-Feb-1971,100.7
22-Feb-1971,99.68
23-Feb-1971,99.72
24-Feb-1971,100.64
25-Feb-1971,101.23
26-Feb-1971,101.34
01-Mar-1971,101.78
02-Mar-1971,101.84
03-Mar-1971,102.07
04-Mar-1971,102.78
05-Mar-1971,103
08-Mar-1971,104.23
09-Mar-1971,104.41
10-Mar-1971,104.14
11-Mar-1971,104.26
12-Mar-1971,104.5
15-Mar-1971,105.13
16-Mar-1971,105.56
17-Mar-1971,105.5
18-Mar-1971,105.88
19-Mar-1971,105.77
22-Mar-1971,105.37
23-Mar-1971,105.11
24-Mar-1971,104.7
25-Mar-1971,104.6
26-Mar-1971,105.07
29-Mar-1971,105.2
30-Mar-1971,105.44
31-Mar-1971,105.97
01-Apr-1971,106.34
02-Apr-1971,106.86
05-Apr-1971,107.17
06-Apr-1971,107.56
07-Apr-1971,108.06
08-Apr-1971,108.38
12-Apr-1971,108.87
13-Apr-1971,108.85
14-Apr-1971,109.08
15-Apr-1971,109.69
16-Apr-1971,109.96
19-Apr-1971,110.16
20-Apr-1971,109.53
21-Apr-1971,109.52
22-Apr-1971,109.99
23-Apr-1971,110.69
26-Apr-1971,111.13
27-Apr-1971,111.69
28-Apr-1971,112.37
29-Apr-1971,112.46
30-Apr-1971,112.3
03-May-1971,111.35
04-May-1971,111.77
05-May-1971,111.68
06-May-1971,111.06
07-May-1971,110.66
10-May-1971,110.15
11-May-1971,110.33
12-May-1971,110.37
13-May-1971,110.55
14-May-1971,110.74
17-May-1971,109.15
18-May-1971,108.4
19-May-1971,108.33
20-May-1971,108.72
21-May-1971,108.85
24-May-1971,108.42
25-May-1971,107.5
26-May-1971,107.53
27-May-1971,107.6
28-May-1971,108.25
01-Jun-1971,108.87
02-Jun-1971,109.56
03-Jun-1971,110.22
04-Jun-1971,110.66
07-Jun-1971,110.76
08-Jun-1971,110.02
09-Jun-1971,109.79
10-Jun-1971,110.06
11-Jun-1971,110.2
14-Jun-1971,109.57
15-Jun-1971,109.36
16-Jun-1971,109.44
17-Jun-1971,109.44
18-Jun-1971,108.16
21-Jun-1971,106.5
22-Jun-1971,105.49
23-Jun-1971,105.99
24-Jun-1971,106.37
25-Jun-1971,106.56
28-Jun-1971,106.45
29-Jun-1971,107.22
30-Jun-1971,107.8
01-Jul-1971,108.47
02-Jul-1971,108.77
06-Jul-1971,109.23
07-Jul-1971,110.01
08-Jul-1971,110.42
09-Jul-1971,110.91
12-Jul-1971,111.24
13-Jul-1971,110.76
14-Jul-1971,110.34
15-Jul-1971,110.72
16-Jul-1971,109.98
19-Jul-1971,109.37
20-Jul-1971,109.79
21-Jul-1971,109.74
22-Jul-1971,109.54
23-Jul-1971,109.63
