t,S
16-May-1949,176.21
17-May-1949,174.8
18-May-1949,172.53
19-May-1949,171.34
20-May-1949,169.2
21-May-1949,169.92
23-May-1949,171.85
24-May-1949,172.75
25-May-1949,171.53
26-May-1949,170.43
27-May-1949,172.76
28-May-1949,176.3
30-May-1949,176.21
31-May-1949,176.52
01-Jun-1949,175.97
02-Jun-1949,174.76
03-Jun-1949,175.48
04-Jun-1949,175.98
06-Jun-1949,174.92
07-Jun-1949,173.83
08-Jun-1949,171.53
09-Jun-1949,170.15
10-Jun-1949,167.98
11-Jun-1949,167.86
13-Jun-1949,165.27
14-Jun-1949,158.98
15-Jun-1949,153.81
16-Jun-1949,157.8
17-Jun-1949,160.13
18-Jun-1949,160.42
20-Jun-1949,155.45
21-Jun-1949,152.99
22-Jun-1949,155.01
23-Jun-1949,155.76
24-Jun-1949,154.04
25-Jun-1949,153.35
27-Jun-1949,150.58
28-Jun-1949,147.13
29-Jun-1949,146.14
30-Jun-1949,146.92
01-Jul-1949,147.37
02-Jul-1949,150
04-Jul-1949,149.14
05-Jul-1949,146.52
06-Jul-1949,144.18
07-Jul-1949,143.66
08-Jul-1949,142.16
09-Jul-1949,140.03
11-Jul-1949,135.84
12-Jul-1949,134.8
13-Jul-1949,140.02
14-Jul-1949,141.28
15-Jul-1949,142.29
16-Jul-1949,144.89
18-Jul-1949,147.23
19-Jul-1949,148.55
20-Jul-1949,147.09
21-Jul-1949,145.97
22-Jul-1949,145.67
23-Jul-1949,146.5
25-Jul-1949,144.88
26-Jul-1949,144.66
27-Jul-1949,145.47
28-Jul-1949,145.51
29-Jul-1949,144.59
30-Jul-1949,144.86
01-Aug-1949,145.63
02-Aug-1949,150
03-Aug-1949,154.46
04-Aug-1949,155.57
05-Aug-1949,154.24
06-Aug-1949,156.26
08-Aug-1949,156.46
09-Aug-1949,157.68
10-Aug-1949,159.3
11-Aug-1949,162.75
12-Aug-1949,164.73
13-Aug-1949,162.49
15-Aug-1949,159
16-Aug-1949,159.14
17-Aug-1949,158.23
18-Aug-1949,158.17
19-Aug-1949,158.81
20-Aug-1949,160.04
22-Aug-1949,160.51
23-Aug-1949,162.02
24-Aug-1949,164.34
25-Aug-1949,167.64
26-Aug-1949,173.2
27-Aug-1949,176.27
29-Aug-1949,173.22
30-Aug-1949,174.1
31-Aug-1949,175.18
01-Sep-1949,176.89
02-Sep-1949,173
03-Sep-1949,171.57
05-Sep-1949,172.21
06-Sep-1949,172.41
07-Sep-1949,171.89
08-Sep-1949,170.11
09-Sep-1949,168.86
10-Sep-1949,170.7
12-Sep-1949,172.23
13-Sep-1949,171.25
14-Sep-1949,169.87
15-Sep-1949,168.3
16-Sep-1949,162.54
17-Sep-1949,164.95
19-Sep-1949,167.07
20-Sep-1949,163.94
21-Sep-1949,162.22
22-Sep-1949,163
24-Sep-1949,163.98
26-Sep-1949,162.49
27-Sep-1949,160.41
28-Sep-1949,160.61
29-Sep-1949,162.07
30-Sep-1949,163.29
01-Oct-1949,162.95
03-Oct-1949,160.72
04-Oct-1949,153.7
05-Oct-1949,153
06-Oct-1949,153.4
07-Oct-1949,156.84
08-Oct-1949,158.7
10-Oct-1949,154.16
11-Oct-1949,151.87
12-Oct-1949,150.42
13-Oct-1949,147.66
14-Oct-1949,146.97
15-Oct-1949,149.62
